Entry	Entry Name	Gene Names	Organism
Q9D8V7	SC11C_MOUSE	Sec11c Sec11l3 Spc21	Mus musculus (Mouse)
Q9DCW2	PLS2_MOUSE	Plscr2	Mus musculus (Mouse)
Q9EQC0	CHST1_MOUSE	Chst1 Gst1	Mus musculus (Mouse)
Q9ER04	TMPS5_MOUSE	Tmprss5	Mus musculus (Mouse)
Q9JI67	B3GT5_MOUSE	B3galt5 B3gt5	Mus musculus (Mouse)
Q9QUP4	CHST5_MOUSE	Chst5 Gst4	Mus musculus (Mouse)
Q9QZS6	HS3SB_MOUSE	Hs3st3b1 3ost3b1 Hs3st3b	Mus musculus (Mouse)
Q9R0P6	SC11A_MOUSE	Sec11a Sec11l1 Sid2895 Spc18	Mus musculus (Mouse)
Q9R1N9	CODA1_MOUSE	Col13a1	Mus musculus (Mouse)
Q9Z0F0	B3GT4_MOUSE	B3galt4	Mus musculus (Mouse)
A2AUQ7	GTA1L_MOUSE	Ggta1l1	Mus musculus (Mouse)
A2AV25	FBCD1_MOUSE	Fibcd1	Mus musculus (Mouse)
B2KG20	KLRI1_MOUSE	Klri1	Mus musculus (Mouse)
P0C8K7	SMIM1_MOUSE	Smim1	Mus musculus (Mouse)
P61315	G3ST3_MOUSE	Gal3st3	Mus musculus (Mouse)
Q0ZUP1	KLRB1_MOUSE	Klrb1 Gm4696 Klrb1d Klrb1g Klrb6 Nkrp1g	Mus musculus (Mouse)
Q149M0	CL12B_MOUSE	Clec12b	Mus musculus (Mouse)
Q1RLK6	B3GN4_MOUSE	B3gnt4	Mus musculus (Mouse)
Q2KHK3	AMPQ_MOUSE	Lvrn Aqpep	Mus musculus (Mouse)
Q2NKH9	GL6D1_MOUSE	Glt6d1	Mus musculus (Mouse)
Q3UHH8	GXLT1_MOUSE	Gxylt1 Glt8d3 Gm87	Mus musculus (Mouse)
Q3UPI1	GAK1B_MOUSE	Gask1b Ened Fam198b	Mus musculus (Mouse)
Q3USF0	B3GN6_MOUSE	B3gnt6	Mus musculus (Mouse)
Q3V3K7	GCNT7_MOUSE	Gcnt7	Mus musculus (Mouse)
Q5DT36	KLRI2_MOUSE	Klri2	Mus musculus (Mouse)
Q61500	ITM2A_MOUSE	Itm2a E25 Itm2	Mus musculus (Mouse)
Q6IE26	EPHX4_MOUSE	Ephx4 Abhd7 Ephxrp	Mus musculus (Mouse)
